mitigation,leader growth,productivity catch-up,fossil fuels,energy demand behavior,energy efficiency,low-carbon technologies,labor markets rigidities
0,0,0,2,0,0,0,0
0,0,0,0,0,0,1,0
0,0,0,2,0,0,1,0
0,0,0,0,0,2,0,0
0,0,0,2,0,2,0,0
0,0,0,0,0,2,1,0
0,0,0,2,0,2,1,0
0,0,0,0,1,0,0,0
0,0,0,2,1,0,0,0
0,0,0,0,1,0,1,0
0,0,0,2,1,0,1,0
0,0,0,0,1,2,0,0
0,0,0,2,1,2,0,0
0,0,0,0,1,2,1,0
0,0,0,2,1,2,1,0
0,0,1,0,0,0,0,0
0,0,1,2,0,0,0,0
0,0,1,0,0,0,1,0
0,0,1,2,0,0,1,0
0,0,1,0,0,2,0,0
0,0,1,2,0,2,0,0
0,0,1,0,0,2,1,0
0,0,1,2,0,2,1,0
0,0,1,0,1,0,0,0
0,0,1,2,1,0,0,0
0,0,1,0,1,0,1,0
0,0,1,2,1,0,1,0
0,0,1,0,1,2,0,0
0,0,1,2,1,2,0,0
0,0,1,0,1,2,1,0
0,0,1,2,1,2,1,0
0,0,2,0,0,0,0,0
0,0,2,2,0,0,0,0
0,0,2,0,0,0,1,0
0,0,2,2,0,0,1,0
0,0,2,0,0,2,0,0
0,0,2,2,0,2,0,0
0,0,2,0,0,2,1,0
0,0,2,2,0,2,1,0
0,0,2,0,1,0,0,0
0,0,2,2,1,0,0,0
0,0,2,0,1,0,1,0
0,0,2,2,1,0,1,0
0,0,2,0,1,2,0,0
0,0,2,2,1,2,0,0
0,0,2,0,1,2,1,0
0,0,2,2,1,2,1,0
0,1,0,0,0,0,0,0
0,1,0,2,0,0,0,0
0,1,0,0,0,0,1,0
0,1,0,2,0,0,1,0
0,1,0,0,0,2,0,0
0,1,0,2,0,2,0,0
0,1,0,0,0,2,1,0
0,1,0,2,0,2,1,0
0,1,0,0,1,0,0,0
0,1,0,2,1,0,0,0
0,1,0,0,1,0,1,0
0,1,0,2,1,0,1,0
0,1,0,0,1,2,0,0
0,1,0,2,1,2,0,0
0,1,0,0,1,2,1,0
0,1,0,2,1,2,1,0
0,1,1,0,0,0,0,0
0,1,1,2,0,0,0,0
0,1,1,0,0,0,1,0
0,1,1,2,0,0,1,0
0,1,1,0,0,2,0,0
0,1,1,2,0,2,0,0
0,1,1,0,0,2,1,0
0,1,1,2,0,2,1,0
0,1,1,0,1,0,0,0
0,1,1,2,1,0,0,0
0,1,1,0,1,0,1,0
0,1,1,2,1,0,1,0
0,1,1,0,1,2,0,0
0,1,1,2,1,2,0,0
0,1,1,0,1,2,1,0
0,1,1,2,1,2,1,0
0,1,2,0,0,0,0,0
0,1,2,2,0,0,0,0
0,1,2,0,0,0,1,0
0,1,2,2,0,0,1,0
0,1,2,0,0,2,0,0
0,1,2,2,0,2,0,0
0,1,2,0,0,2,1,0
0,1,2,2,0,2,1,0
0,1,2,0,1,0,0,0
0,1,2,2,1,0,0,0
0,1,2,0,1,0,1,0
0,1,2,2,1,0,1,0
0,1,2,0,1,2,0,0
0,1,2,2,1,2,0,0
0,1,2,0,1,2,1,0
0,1,2,2,1,2,1,0
0,2,0,0,0,0,0,0
0,2,0,2,0,0,0,0
0,2,0,0,0,0,1,0
0,2,0,2,0,0,1,0
0,2,0,0,0,2,0,0
0,2,0,2,0,2,0,0
0,2,0,0,0,2,1,0
0,2,0,2,0,2,1,0
0,2,0,0,1,0,0,0
0,2,0,2,1,0,0,0
0,2,0,0,1,0,1,0
0,2,0,2,1,0,1,0
0,2,0,0,1,2,0,0
0,2,0,2,1,2,0,0
0,2,0,0,1,2,1,0
0,2,0,2,1,2,1,0
0,2,1,0,0,0,0,0
0,2,1,2,0,0,0,0
0,2,1,0,0,0,1,0
0,2,1,2,0,0,1,0
0,2,1,0,0,2,0,0
0,2,1,2,0,2,0,0
0,2,1,0,0,2,1,0
0,2,1,2,0,2,1,0
0,2,1,0,1,0,0,0
0,2,1,2,1,0,0,0
0,2,1,0,1,0,1,0
0,2,1,2,1,0,1,0
0,2,1,0,1,2,0,0
0,2,1,2,1,2,0,0
0,2,1,0,1,2,1,0
0,2,1,2,1,2,1,0
0,2,2,0,0,0,0,0
0,2,2,2,0,0,0,0
0,2,2,0,0,0,1,0
0,2,2,2,0,0,1,0
0,2,2,0,0,2,0,0
0,2,2,2,0,2,0,0
0,2,2,0,0,2,1,0
0,2,2,2,0,2,1,0
0,2,2,0,1,0,0,0
0,2,2,2,1,0,0,0
0,2,2,0,1,0,1,0
0,2,2,2,1,0,1,0
0,2,2,0,1,2,0,0
0,2,2,2,1,2,0,0
0,2,2,0,1,2,1,0
0,2,2,2,1,2,1,0
0,0,0,0,0,1,0,0
0,0,0,2,0,1,0,0
0,0,0,0,0,1,1,0
0,0,0,2,0,1,1,0
0,0,0,0,1,1,0,0
0,0,0,2,1,1,0,0
0,0,0,0,1,1,1,0
0,0,0,2,1,1,1,0
0,0,1,0,0,1,0,0
0,0,1,2,0,1,0,0
0,0,1,0,0,1,1,0
0,0,1,2,0,1,1,0
0,0,1,0,1,1,0,0
0,0,1,2,1,1,0,0
0,0,1,0,1,1,1,0
0,0,1,2,1,1,1,0
0,0,2,0,0,1,0,0
0,0,2,2,0,1,0,0
0,0,2,0,0,1,1,0
0,0,2,2,0,1,1,0
0,0,2,0,1,1,0,0
0,0,2,2,1,1,0,0
0,0,2,0,1,1,1,0
0,0,2,2,1,1,1,0
0,1,0,0,0,1,0,0
0,1,0,2,0,1,0,0
0,1,0,0,0,1,1,0
0,1,0,2,0,1,1,0
0,1,0,0,1,1,0,0
0,1,0,2,1,1,0,0
0,1,0,0,1,1,1,0
0,1,0,2,1,1,1,0
0,1,1,0,0,1,0,0
0,1,1,2,0,1,0,0
0,1,1,0,0,1,1,0
0,1,1,2,0,1,1,0
0,1,1,0,1,1,0,0
0,1,1,2,1,1,0,0
0,1,1,0,1,1,1,0
0,1,1,2,1,1,1,0
0,1,2,0,0,1,0,0
0,1,2,2,0,1,0,0
0,1,2,0,0,1,1,0
0,1,2,2,0,1,1,0
0,1,2,0,1,1,0,0
0,1,2,2,1,1,0,0
0,1,2,0,1,1,1,0
0,1,2,2,1,1,1,0
0,2,0,0,0,1,0,0
0,2,0,2,0,1,0,0
0,2,0,0,0,1,1,0
0,2,0,2,0,1,1,0
0,2,0,0,1,1,0,0
0,2,0,2,1,1,0,0
0,2,0,0,1,1,1,0
0,2,0,2,1,1,1,0
0,2,1,0,0,1,0,0
0,2,1,2,0,1,0,0
0,2,1,0,0,1,1,0
0,2,1,2,0,1,1,0
0,2,1,0,1,1,0,0
0,2,1,2,1,1,0,0
0,2,1,0,1,1,1,0
0,2,1,2,1,1,1,0
0,2,2,0,0,1,0,0
0,2,2,2,0,1,0,0
0,2,2,0,0,1,1,0
0,2,2,2,0,1,1,0
0,2,2,0,1,1,0,0
0,2,2,2,1,1,0,0
0,2,2,0,1,1,1,0
0,2,2,2,1,1,1,0
550,0,0,0,0,0,0,1
550,0,0,2,0,0,0,0
550,0,0,0,0,0,1,0
550,0,0,2,0,0,1,0
550,0,0,0,0,2,0,0
550,0,0,2,0,2,0,0
550,0,0,0,0,2,1,0
550,0,0,2,0,2,1,0
550,0,0,0,1,0,0,0
550,0,0,2,1,0,0,0
550,0,0,0,1,0,1,0
550,0,0,2,1,0,1,0
550,0,0,0,1,2,0,0
550,0,0,2,1,2,0,0
550,0,0,0,1,2,1,0
550,0,0,2,1,2,1,0
550,0,1,0,0,0,0,0
550,0,1,2,0,0,0,0
550,0,1,0,0,0,1,0
550,0,1,2,0,0,1,0
550,0,1,0,0,2,0,0
550,0,1,2,0,2,0,0
550,0,1,0,0,2,1,0
550,0,1,2,0,2,1,0
550,0,1,0,1,0,0,0
550,0,1,2,1,0,0,0
550,0,1,0,1,0,1,0
550,0,1,2,1,0,1,0
550,0,1,0,1,2,0,0
550,0,1,2,1,2,0,0
550,0,1,0,1,2,1,0
550,0,1,2,1,2,1,0
550,0,2,0,0,0,0,0
550,0,2,2,0,0,0,0
550,0,2,0,0,0,1,0
550,0,2,2,0,0,1,0
550,0,2,0,0,2,0,0
550,0,2,2,0,2,0,0
550,0,2,0,0,2,1,0
550,0,2,2,0,2,1,0
550,0,2,0,1,0,0,0
550,0,2,2,1,0,0,0
550,0,2,0,1,0,1,0
550,0,2,2,1,0,1,0
550,0,2,0,1,2,0,0
550,0,2,2,1,2,0,0
550,0,2,0,1,2,1,0
550,0,2,2,1,2,1,0
550,1,0,0,0,0,0,0
550,1,0,2,0,0,0,0
550,1,0,0,0,0,1,0
550,1,0,2,0,0,1,0
550,1,0,0,0,2,0,0
550,1,0,2,0,2,0,0
550,1,0,0,0,2,1,0
550,1,0,2,0,2,1,0
550,1,0,0,1,0,0,0
550,1,0,2,1,0,0,0
550,1,0,0,1,0,1,0
550,1,0,2,1,0,1,0
550,1,0,0,1,2,0,0
550,1,0,2,1,2,0,0
550,1,0,0,1,2,1,0
550,1,0,2,1,2,1,0
550,1,1,0,0,0,0,0
550,1,1,2,0,0,0,0
550,1,1,0,0,0,1,0
550,1,1,2,0,0,1,0
550,1,1,0,0,2,0,0
550,1,1,2,0,2,0,0
550,1,1,0,0,2,1,0
550,1,1,2,0,2,1,0
550,1,1,0,1,0,0,0
550,1,1,2,1,0,0,0
550,1,1,0,1,0,1,0
550,1,1,2,1,0,1,0
550,1,1,0,1,2,0,0
550,1,1,2,1,2,0,0
550,1,1,0,1,2,1,0
550,1,1,2,1,2,1,0
550,1,2,0,0,0,0,0
550,1,2,2,0,0,0,0
550,1,2,0,0,0,1,0
550,1,2,2,0,0,1,0
550,1,2,0,0,2,0,0
550,1,2,2,0,2,0,0
550,1,2,0,0,2,1,0
550,1,2,2,0,2,1,0
550,1,2,0,1,0,0,0
550,1,2,2,1,0,0,0
550,1,2,0,1,0,1,0
550,1,2,2,1,0,1,0
550,1,2,0,1,2,0,0
550,1,2,2,1,2,0,0
550,1,2,0,1,2,1,0
550,1,2,2,1,2,1,0
550,2,0,0,0,0,0,0
550,2,0,2,0,0,0,0
550,2,0,0,0,0,1,0
550,2,0,2,0,0,1,0
550,2,0,0,0,2,0,0
550,2,0,2,0,2,0,0
550,2,0,0,0,2,1,0
